## Synthetic TPS (blade-angle) data
## Fri Mar 01 10:21:40 EST 2002
00:00:66000 TPSValue 0.0
00:00:66020 TPSValue 0.45
00:00:66040 TPSValue 0.9
00:00:66060 TPSValue 1.35
00:00:66080 TPSValue 1.79
00:00:66100 TPSValue 2.25
00:00:66120 TPSValue 2.7
00:00:66140 TPSValue 3.15
00:00:66160 TPSValue 3.6
00:00:66180 TPSValue 4.04
00:00:66200 TPSValue 4.5
00:00:66220 TPSValue 4.95
00:00:66240 TPSValue 5.4
00:00:66260 TPSValue 5.85
00:00:66280 TPSValue 6.29
00:00:66300 TPSValue 6.75
00:00:66320 TPSValue 7.2
00:00:66340 TPSValue 7.65
00:00:66360 TPSValue 8.1
00:00:66380 TPSValue 8.54
00:00:66400 TPSValue 9.0
00:00:66420 TPSValue 9.45
00:00:66440 TPSValue 9.9
00:00:66460 TPSValue 10.35
00:00:66480 TPSValue 10.79
00:00:66500 TPSValue 11.25
00:00:66520 TPSValue 11.7
00:00:66540 TPSValue 12.15
00:00:66560 TPSValue 12.6
00:00:66580 TPSValue 13.04
00:00:66600 TPSValue 13.5
00:00:66620 TPSValue 13.95
00:00:66640 TPSValue 14.4
00:00:66660 TPSValue 14.85
00:00:66680 TPSValue 15.29
00:00:66700 TPSValue 15.75
00:00:66720 TPSValue 16.2
00:00:66740 TPSValue 16.65
00:00:66760 TPSValue 17.1
00:00:66780 TPSValue 17.54
00:00:66800 TPSValue 18.0
00:00:66820 TPSValue 18.45
00:00:66840 TPSValue 18.9
00:00:66860 TPSValue 19.35
00:00:66880 TPSValue 19.79
00:00:66900 TPSValue 20.25
00:00:66920 TPSValue 20.7
00:00:66940 TPSValue 21.15
00:00:66960 TPSValue 21.6
00:00:66980 TPSValue 22.04
00:00:67000 TPSValue 22.5
00:00:67020 TPSValue 22.95
00:00:67040 TPSValue 23.4
00:00:67060 TPSValue 23.85
00:00:67080 TPSValue 24.29
00:00:67100 TPSValue 24.75
00:00:67120 TPSValue 25.2
00:00:67140 TPSValue 25.65
00:00:67160 TPSValue 26.1
00:00:67180 TPSValue 26.54
00:00:67200 TPSValue 27.0
00:00:67220 TPSValue 27.45
00:00:67240 TPSValue 27.9
00:00:67260 TPSValue 28.35
00:00:67280 TPSValue 28.79
00:00:67300 TPSValue 29.25
