## Synthetic power supply data for UpperPos12VoltPowerSupply
## Thu Feb 28 13:46:52 EST 2002
00:00:0 UpperPos12VoltPowerSupply 12.05
00:00:500 UpperPos12VoltPowerSupply 12.0
00:00:1000 UpperPos12VoltPowerSupply 11.92
00:00:1500 UpperPos12VoltPowerSupply 12.08
00:00:2000 UpperPos12VoltPowerSupply 12.02
00:00:2500 UpperPos12VoltPowerSupply 12.07
00:00:3000 UpperPos12VoltPowerSupply 12.1
00:00:3500 UpperPos12VoltPowerSupply 12.04
00:00:4000 UpperPos12VoltPowerSupply 11.9
00:00:4500 UpperPos12VoltPowerSupply 12.02
00:00:5000 UpperPos12VoltPowerSupply 12.09
00:00:5500 UpperPos12VoltPowerSupply 12.0
00:00:6000 UpperPos12VoltPowerSupply 12.03
00:00:6500 UpperPos12VoltPowerSupply 11.94
00:00:7000 UpperPos12VoltPowerSupply 11.92
00:00:7500 UpperPos12VoltPowerSupply 11.98
00:00:8000 UpperPos12VoltPowerSupply 12.0
00:00:8500 UpperPos12VoltPowerSupply 12.01
00:00:9000 UpperPos12VoltPowerSupply 11.92
00:00:9500 UpperPos12VoltPowerSupply 11.99
00:00:10000 UpperPos12VoltPowerSupply 11.91
00:00:10500 UpperPos12VoltPowerSupply 11.95
00:00:11000 UpperPos12VoltPowerSupply 12.08
00:00:11500 UpperPos12VoltPowerSupply 11.99
00:00:12000 UpperPos12VoltPowerSupply 11.91
00:00:12500 UpperPos12VoltPowerSupply 11.95
00:00:13000 UpperPos12VoltPowerSupply 12.09
00:00:13500 UpperPos12VoltPowerSupply 12.01
00:00:14000 UpperPos12VoltPowerSupply 12.05
00:00:14500 UpperPos12VoltPowerSupply 11.9
00:00:15000 UpperPos12VoltPowerSupply 12.01
00:00:15500 UpperPos12VoltPowerSupply 11.99
00:00:16000 UpperPos12VoltPowerSupply 12.1
00:00:16500 UpperPos12VoltPowerSupply 12.07
00:00:17000 UpperPos12VoltPowerSupply 12.05
00:00:17500 UpperPos12VoltPowerSupply 11.91
00:00:18000 UpperPos12VoltPowerSupply 12.09
00:00:18500 UpperPos12VoltPowerSupply 11.94
00:00:19000 UpperPos12VoltPowerSupply 11.89
00:00:19500 UpperPos12VoltPowerSupply 11.96
00:00:20000 UpperPos12VoltPowerSupply 12.06
00:00:20500 UpperPos12VoltPowerSupply 12.06
00:00:21000 UpperPos12VoltPowerSupply 11.89
00:00:21500 UpperPos12VoltPowerSupply 12.01
00:00:22000 UpperPos12VoltPowerSupply 11.93
00:00:22500 UpperPos12VoltPowerSupply 12.06
